City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,imbituba,-28.24,-48.6703,24.92,71,41,3.49,BR,1706642475
83,st. john's,47.5649,-52.7093,-4.92,81,100,10.29,CA,1706642403
84,tadine,-21.55,167.8833,23.74,76,14,3.37,NC,1706642476
85,jiayuguan,39.8167,98.3,-6.86,46,92,2.64,CN,1706642477
86,arkhangel'sk,64.5401,40.5433,0.07,80,75,4.0,RU,1706642477
87,georgetown,5.4112,100.3354,27.75,73,20,3.09,MY,1706642478
88,okha,53.5739,142.9478,-20.55,96,48,5.49,RU,1706642478
89,puerto natales,-51.7236,-72.4875,17.25,67,100,9.26,CL,1706642479
90,mhamid,29.82,-5.72,17.03,26,5,4.29,MA,1706642479
91,inhambane,-23.865,35.3833,24.99,88,40,2.06,MZ,1706642480
92,swakopmund,-22.6833,14.5333,22.47,83,5,2.68,NA,1706642480
93,vorgashor,67.5833,63.95,-13.38,95,100,4.93,RU,1706642481
94,robertsport,6.7533,-11.3686,27.91,82,2,6.33,LR,1706642481
95,hasaki,35.7333,140.8333,2.22,62,97,1.71,JP,1706642481
96,east london,-33.0153,27.9116,22.92,82,100,3.75,ZA,1706642482
97,cururupu,-1.8283,-44.8683,29.17,69,84,2.38,BR,1706642482
98,nova sintra,14.8667,-24.7167,21.23,66,0,6.66,CV,1706642483
99,coquimbo,-29.9533,-71.3436,20.92,76,56,2.8,CL,1706641954
100,kapuskasing,49.4169,-82.4331,1.0,86,100,5.14,CA,1706642483
101,el granada,37.5027,-122.4694,19.92,76,0,4.12,US,1706642484
102,talnakh,69.4865,88.3972,-18.22,78,100,5.26,RU,1706642484
103,zabol,32.25,67.25,5.39,55,0,7.77,AF,1706642485
104,fale old settlement,-9.3852,-171.2468,29.43,71,36,2.49,TK,1706642485
105,urengoy,65.9667,78.3667,-20.12,96,75,6.01,RU,1706642486
106,carutapera,-1.195,-46.02,29.83,66,71,3.24,BR,1706642486
107,ribeira grande,38.5167,-28.7,17.22,82,20,5.66,PT,1706642486
108,tocopilla,-22.092,-70.1979,24.9,68,21,5.66,CL,1706641914
109,vilyuchinsk,52.9306,158.4028,-14.48,79,95,3.59,RU,1706642487
110,ilhabela,-23.7781,-45.3581,27.55,73,58,0.98,BR,1706642488
111,pyoksong-up,38.0475,125.5567,0.42,60,83,0.75,KP,1706642488
112,lihue,21.9789,-159.3672,23.58,82,40,0.0,US,1706642432
113,kimbe,-5.5502,150.1429,24.71,92,88,0.65,PG,1706642489
114,coahuayana de hidalgo,18.7,-103.6583,30.43,52,100,3.25,MX,1706642489
115,badger,64.8,-147.5333,-27.07,70,75,0.0,US,1706642490
116,kourou,5.1552,-52.6478,30.03,75,81,4.32,GF,1706642490
117,mula,38.0409,-1.4901,12.29,88,100,2.22,ES,1706642490
118,nemuro,43.3236,145.575,-2.26,66,99,5.9,JP,1706642491
119,port-vila,-17.7338,168.3219,20.78,100,20,1.03,VU,1706642491
120,dali,25.7,100.1833,4.15,79,0,2.65,CN,1706642491
121,shakawe,-18.3667,21.85,20.93,81,54,2.88,BW,1706642492
122,kalmunai,7.4167,81.8167,25.02,89,21,2.35,LK,1706642492
123,muncie,40.1934,-85.3864,1.51,93,100,3.09,US,1706642352
124,ust-nera,64.5667,143.2,-36.33,100,100,1.13,RU,1706642492
125,bredasdorp,-34.5322,20.0403,20.36,77,100,4.96,ZA,1706642493
126,vredendal,-31.6683,18.5012,21.33,63,12,4.96,ZA,1706642493
127,shirvan,39.9509,48.8994,2.99,85,98,0.99,AZ,1706642493
128,zonguldak,41.25,31.8333,-1.98,91,8,0.77,TR,1706642494
129,bubaque,11.2833,-15.8333,25.99,65,100,5.46,GW,1706642494
130,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,94,75,4.0,RU,1706642494
131,sarkand,45.41,79.9186,-3.66,85,99,2.14,KZ,1706642495
132,udachny,66.4167,112.4,-29.62,100,97,1.17,RU,1706642495
133,punta arenas,-53.15,-70.9167,16.01,82,100,5.14,CL,1706642429
134,kailua-kona,19.6406,-155.9956,25.15,92,100,6.17,US,1706642496
135,fisterra,42.9049,-9.2629,13.75,75,95,2.28,ES,1706642496
136,sausset-les-pins,43.3314,5.1043,10.13,87,0,2.06,FR,1706642497
137,blackmans bay,-43.0167,147.3167,15.07,74,100,2.52,AU,1706642497
138,tsiombe,-25.3,45.4833,23.05,77,100,7.62,MG,1706642497
139,kamakhyanagar,20.9333,85.55,18.5,84,84,0.85,IN,1706642498
140,nizhnesortymskiy,62.4397,71.7603,-19.28,98,98,5.78,RU,1706642498
141,bereznik,62.8551,42.7072,-2.4,89,30,3.0,RU,1706642498
142,salekhard,66.53,66.6019,-15.17,95,100,4.27,RU,1706642499
143,ancud,-41.8697,-73.8203,17.49,72,6,4.05,CL,1706642213
144,kajaani,64.2273,27.7285,0.03,69,0,3.6,FI,1706642500
145,luwuk,-0.9516,122.7875,25.93,80,74,1.44,ID,1706642500
146,hami,42.8,93.45,-4.76,54,100,1.11,CN,1706642500
147,kodiak,57.79,-152.4072,-17.27,66,0,3.09,US,1706642501
148,tolanaro,-25.0319,46.9987,25.04,78,40,6.17,MG,1706642501
149,san luis,-33.295,-66.3356,37.0,20,64,4.55,AR,1706642502
150,puerto ayora,-0.7393,-90.3518,30.98,75,67,5.43,EC,1706642502
151,xiaoweizhai,26.1903,107.5125,9.3,99,100,1.19,CN,1706642502
152,namtsy,62.7161,129.6658,-33.96,94,100,0.39,RU,1706642503
153,lebu,-37.6167,-73.65,18.55,63,0,7.0,CL,1706642214
154,akureyri,65.6835,-18.0878,-2.04,80,75,2.06,IS,1706642503
155,pathein,16.7833,94.7333,19.29,63,0,2.19,MM,1706642504
156,aban,56.67,96.06,-29.85,99,10,1.96,RU,1706642504
157,mount gambier,-37.8333,140.7667,11.12,90,14,2.01,AU,1706642505
158,port alfred,-33.5906,26.891,22.32,89,100,0.89,ZA,1706642505
159,muynoq,43.7683,59.0214,-3.71,79,100,4.91,UZ,1706642505
160,leninskoye,41.7589,69.3864,-0.04,96,100,4.46,KZ,1706642506
161,la'ie,21.6477,-157.9253,23.36,96,71,1.79,US,1706642506
162,sopela,43.3789,-2.9831,14.26,79,0,0.0,ES,1706642506
163,jamestown,42.097,-79.2353,3.77,90,100,5.66,US,1706642339
164,giubiasco,46.1725,9.0079,9.9,71,20,0.0,CH,1706642507
165,nsanje,-16.92,35.262,24.58,69,3,0.97,MW,1706642508
166,port saint john's,-31.6229,29.5448,23.55,90,99,1.21,ZA,1706642508
167,porto novo,6.4965,2.6036,28.9,71,6,3.21,BJ,1706642508
168,sirte,31.2089,16.5887,14.16,58,12,9.65,LY,1706642509
169,chetwayi,10.5333,76.05,25.11,79,12,2.2,IN,1706642509
170,castillos,-34.1667,-53.8333,26.3,43,3,4.8,UY,1706642509
171,uturoa,-16.7333,-151.4333,28.59,76,100,2.96,PF,1706642510
172,anadyr,64.75,177.4833,-30.56,74,0,2.0,RU,1706642510
173,santa cruz,-17.8,-63.1667,35.03,49,20,7.2,BO,1706642359
174,tazacorte,28.629,-17.9293,21.19,42,0,2.68,ES,1706642511
175,pul-e khumri,35.9446,68.7151,3.02,99,100,1.12,AF,1706642512
176,dunedin,-45.8742,170.5036,14.33,87,88,3.58,NZ,1706642512
177,rongelap,11.1635,166.8941,26.1,73,100,9.49,MH,1706642474
178,salinas,36.6777,-121.6555,20.55,69,0,3.6,US,1706642513
179,port lincoln,-34.7333,135.8667,15.49,71,3,4.75,AU,1706642513
180,dogondoutchi,13.6393,4.0287,24.98,16,7,4.78,NE,1706642513
181,segezha,63.7415,34.3222,-0.84,84,51,6.2,RU,1706642514
182,lorengau,-2.0226,147.2712,27.69,81,100,4.28,PG,1706642514
183,lompoc,34.6391,-120.4579,21.55,61,0,1.79,US,1706642514
184,mil'kovo,55.6078,37.7956,0.33,94,100,1.5,RU,1706642515
185,umm kaddadah,13.6017,26.6876,17.43,20,42,5.29,SD,1706642515
186,mayisad,19.1667,-72.1333,27.71,51,34,4.64,HT,1706642298
187,kingston,17.997,-76.7936,30.09,68,20,5.14,JM,1706642267
188,mount isa,-20.7333,139.5,25.87,89,100,6.69,AU,1706642516
189,am timan,11.0297,20.2827,28.36,15,0,2.97,TD,1706642517
190,nhamunda,-2.1861,-56.7131,30.42,75,50,1.55,BR,1706642517
191,new norfolk,-42.7826,147.0587,15.72,81,100,1.37,AU,1706642517
192,worthington,40.0931,-83.018,4.21,83,75,5.14,US,1706642518
193,rabaul,-4.1967,152.1721,26.73,76,100,1.81,PG,1706642518
194,kristiansund,63.1115,7.732,2.36,44,0,1.03,NO,1706642518
195,pandan,14.0453,124.1694,24.94,83,94,6.6,PH,1706642519
196,harstad,68.799,16.5293,6.66,92,100,34.42,NO,1706642519
197,penzance,50.1186,-5.5371,5.38,60,100,1.02,GB,1706642519
198,san antonio de pale,-1.4014,5.6325,27.84,78,85,1.95,GQ,1706642520
199,kantunilkin,21.0917,-87.45,24.06,51,63,2.22,MX,1706642520
200,srandakan,-7.9386,110.2506,25.37,85,100,1.15,ID,1706642521
201,nova vicosa,-17.8919,-39.3719,29.35,70,99,6.7,BR,1706642521
202,prado,-17.3411,-39.2208,28.12,75,66,6.55,BR,1706642522
203,san juan colorado,16.4586,-97.9536,32.13,28,62,2.5,MX,1706642522
204,tiflet,33.8947,-6.3065,11.33,59,0,2.78,MA,1706642523
205,katsuura,35.1333,140.3,9.75,68,18,3.18,JP,1706642523
206,cooper's town,26.8667,-77.5167,19.7,54,96,2.27,BS,1706642524
207,remire-montjoly,4.9167,-52.2667,30.02,74,75,6.69,GF,1706642524
208,nanchang,28.6833,115.8833,11.78,94,100,0.59,CN,1706642525
209,sault ste. marie,46.5168,-84.3333,1.31,100,100,3.09,CA,1706642347
210,vernon,50.2581,-119.2691,9.05,87,100,1.03,CA,1706642525
211,cabo san lucas,22.8909,-109.9124,30.17,45,75,6.17,MX,1706642512
212,isangel,-19.55,169.2667,21.06,88,100,2.57,VU,1706642527
213,kibara,-2.15,33.45,23.3,72,97,3.96,TZ,1706642527
214,caleta de carquin,-11.0925,-77.6267,26.31,73,81,5.84,PE,1706642528
215,mount pearl,47.5166,-52.7813,-5.38,81,100,10.29,CA,1706642528
216,sinop,41.7711,34.8709,-1.76,94,86,0.88,TR,1706642528
217,hadibu,12.65,54.0333,24.92,76,92,4.43,YE,1706642529
218,bamboo flat,11.7,92.7167,26.05,89,20,0.0,IN,1706642529
219,korla,41.7597,86.1469,-4.5,71,94,2.84,CN,1706642529
220,okhotsk,59.3833,143.3,-20.2,78,100,3.5,RU,1706642530
221,minas de marcona,-15.2119,-75.1103,24.28,58,87,7.32,PE,1706642530
222,pitimbu,-7.4706,-34.8086,31.33,64,0,5.21,BR,1706642531
223,nushki,29.5542,66.0215,13.03,39,100,1.43,PK,1706642531
224,copiapo,-27.3667,-70.3333,20.83,40,0,4.73,CL,1706642335
225,pisco,-13.7,-76.2167,27.79,65,0,3.6,PE,1706642532
226,muntok,-2.0667,105.1833,26.17,84,100,4.16,ID,1706642532
227,woolgoolga,-30.1106,153.2007,21.69,76,85,0.62,AU,1706642533
228,la passe,45.5549,-0.8967,11.13,87,47,2.01,FR,1706642533
229,callao,-12.0667,-77.15,28.16,65,20,5.14,PE,1706642534
230,qui nhon,13.7667,109.2333,20.82,93,20,2.39,VN,1706642534
231,weno,7.4515,151.8468,26.97,74,100,4.12,FM,1706642535
232,carovigno,40.708,17.655,9.1,63,0,3.72,IT,1706642535
233,sandnessjoen,66.0217,12.6316,4.12,65,75,13.89,NO,1706642535
234,port douglas,-16.4833,145.4667,27.62,85,100,2.58,AU,1706642436
235,ciudad melchor muzquiz,27.8833,-101.5167,18.54,34,67,2.51,MX,1706642537
236,tazovsky,67.4667,78.7,-19.34,93,99,7.25,RU,1706642537
237,iquitos,-3.7481,-73.2472,32.02,79,75,2.57,PE,1706642477
238,znamenskoye,57.1281,73.8282,-14.34,97,100,2.19,RU,1706642538
239,charters towers,-20.1,146.2667,28.63,70,100,2.4,AU,1706642539
240,rafsanjan,30.4067,55.9939,8.36,36,90,3.48,IR,1706642541
241,iskateley,67.6803,53.1512,-2.77,93,97,6.71,RU,1706642542
242,moree,-29.4667,149.85,23.39,83,1,2.4,AU,1706642543
243,vilhena,-12.7406,-60.1458,25.12,83,40,4.12,BR,1706642452
244,bordighera,43.7806,7.6645,11.42,76,100,0.85,IT,1706642545
245,colonia,50.9333,6.95,10.54,69,75,5.14,DE,1706642546
246,jerada,34.31,-2.16,12.04,43,34,2.2,MA,1706642547
247,carrizo springs,28.5219,-99.8606,21.34,32,0,2.06,US,1706642548
248,narasannapeta,18.4167,84.05,20.48,74,52,0.13,IN,1706642548
249,college,64.8569,-147.8028,-27.03,70,75,0.0,US,1706642549
250,nantucket,41.2835,-70.0995,0.08,64,75,8.75,US,1706642549
251,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,70,5.61,RU,1706642549
252,humaita,-7.5061,-63.0208,30.65,65,100,1.15,BR,1706642549
253,cockermouth,54.6621,-3.3609,4.78,94,7,2.68,GB,1706642550
254,datong,40.0936,113.2914,-10.51,92,26,2.16,CN,1706642550
255,cambria,35.5641,-121.0808,20.06,81,40,2.24,US,1706642550
256,jos,9.9167,8.9,20.82,26,32,3.2,NG,1706642551
257,kayangel,8.0823,134.7173,27.11,82,74,10.99,PW,1706642551
258,antsiranana,-12.2787,49.2917,25.21,87,31,2.44,MG,1706642551
259,raton,36.9034,-104.4391,11.34,32,0,3.6,US,1706642552
260,mpika,-11.8343,31.4529,17.12,92,46,0.85,ZM,1706642552
261,daru,-9.0763,143.2092,25.75,90,100,3.39,PG,1706642552
262,nadi,-17.8,177.4167,26.0,89,75,1.03,FJ,1706642553
263,porangatu,-13.4408,-49.1486,27.91,75,100,0.89,BR,1706642553
264,igarka,67.4667,86.5833,-22.0,83,78,7.44,RU,1706642553
265,karibib,-21.9333,15.8333,27.85,33,74,5.32,NA,1706642554
266,al hawatah,13.4167,34.6333,26.29,14,48,6.06,SD,1706642554
267,prince rupert,54.3161,-130.3201,8.83,87,100,9.26,CA,1706642412
268,saint-francois,46.4154,3.9054,8.69,87,0,1.03,FR,1706642555
269,belmonte,-15.8631,-38.8828,28.77,70,43,5.47,BR,1706642555
270,dyurtyuli,55.4911,54.8688,-4.78,96,100,4.36,RU,1706642555
271,dzhalagash,45.0833,64.6667,-7.06,93,85,5.08,KZ,1706642556
272,howard springs,-12.497,131.047,25.95,87,74,3.06,AU,1706642556
273,dudinka,69.4058,86.1778,-16.85,85,90,9.83,RU,1706642556
274,bezhetsk,57.7851,36.6965,-10.41,100,100,1.72,RU,1706642557
275,kaspiyskiy,45.3929,47.3707,-2.8,76,97,6.38,RU,1706642557
276,blackfoot,43.1905,-112.345,7.09,77,5,2.6,US,1706642461
277,aras-asan,8.8908,126.3033,25.65,88,100,4.18,PH,1706642557
278,newman,37.3138,-121.0208,18.49,83,83,1.79,US,1706642558
279,cill airne,52.05,-9.5167,5.47,79,100,2.41,IE,1706642558
280,langsa,4.4683,97.9683,23.54,95,98,1.02,ID,1706642558
281,colesberg,-30.72,25.0972,24.09,51,100,9.72,ZA,1706642559
282,mili,6.0815,171.735,26.16,85,100,1.54,MH,1706642559
283,invercargill,-46.4,168.35,9.62,87,69,1.26,NZ,1706642559
284,vokhtoga,58.8147,41.0461,-6.62,95,10,2.6,RU,1706642560
285,sao joao da barra,-21.6403,-41.0511,30.05,85,60,4.11,BR,1706642560
286,kaohsiung,22.6163,120.3133,20.58,85,40,0.51,TW,1706642561
287,zhangye,38.9342,100.4517,-3.76,35,100,2.14,CN,1706642561
288,carora,10.1755,-70.0827,35.0,26,40,2.31,VE,1706642561
289,puerto baquerizo moreno,-0.9,-89.6,26.55,89,75,4.12,EC,1706642543
290,queenstown,-31.8976,26.8753,20.34,86,100,0.38,ZA,1706642562
291,mutuali,-14.8706,37.0044,21.95,80,56,1.35,MZ,1706642562
292,naze,28.3667,129.4833,18.51,78,100,8.74,JP,1706642563
293,klyuchi,52.2667,79.1667,-17.92,94,69,2.96,RU,1706642563
294,howrah,22.5892,88.3103,21.0,83,75,2.06,IN,1706642563
295,ra's bayrut,33.9,35.4833,9.5,70,100,6.18,LB,1706642564
296,amahai,-3.3333,128.9167,26.52,81,100,1.51,ID,1706642564
297,mamuju,-2.6748,118.8885,25.91,88,100,2.05,ID,1706642565
298,waingapu,-9.6567,120.2641,25.21,83,10,2.28,ID,1706642565
299,concordia,-31.393,-58.0209,34.22,32,0,2.68,AR,1706642565
300,isabela,6.7085,121.9711,25.72,86,93,1.88,PH,1706642566
301,road town,18.4167,-64.6167,29.02,61,20,3.09,VG,1706642266
302,rovinj,45.08,13.64,9.9,61,21,1.43,HR,1706642566
303,olonkinbyen,70.9221,-8.7187,-4.43,90,100,7.74,SJ,1706642567
304,arawa,-6.2132,155.5367,25.44,91,100,0.95,PG,1706642567
305,taperoa,-7.2075,-36.8267,34.48,24,3,4.01,BR,1706642568
306,biga,40.2281,27.2422,6.7,75,100,10.48,TR,1706642568
307,douentza,14.9951,-2.9517,24.9,13,0,3.42,ML,1706642569
308,arraial do cabo,-22.9661,-42.0278,27.98,78,75,5.14,BR,1706642569
309,el naranjo,21.4667,-98.6,21.29,61,100,1.87,MX,1706642569
310,puerto ayacucho,5.6639,-67.6236,34.35,42,100,1.96,VE,1706642570
311,isiro,2.7739,27.616,22.34,42,100,1.2,CD,1706642570
